Codigo distrito,Nombre distrito,Centro,Trabajadores Sociales Total
1,Centro,CSS Maravillas,8
1,Centro,CSS Puerta de Toledo,14
2,Arganzuela,CSS José Villarreal,13
3,Retiro,CSS Retiro,9
4,Salamanca,CSS Guindalera,13
5,Chamartín,CSS Santa Hortensia,10
6,Tetuan,CSS María Zayas,11
6,Tetuan,CSS Vicente Ferrer,9
7,Chamberí,CSS Marta Esquivias Tallada,15
8,Fuencarral-El pardo,CSS Badalona,10
8,Fuencarral-El pardo,CSS San Vicente de Paúl,8
9,Moncloa-Aravaca,CSS Dehesa de la Villa,6
9,Moncloa-Aravaca,CSS Infante Don Juan ,5
10,Latina,CSS Fuerte de Navidad,13
10,Latina,CSS Los Yébenes,11
10,Latina,CSS Gallur,12
11,Carabanchel,CSS Plaza Elíptica,9
11,Carabanchel,CSS Zaida,18
11,Carabanchel,CSS Monseńor Óscar Romero,11
12,Usera,CSS Loyola de Palacio,12
12,Usera,CSS San Filiberto,18
13,Puente de Vallecas,CSS Ramón Pérez De Ayala,11
13,Puente de Vallecas,CSS Entrevías,9
13,Puente de Vallecas,CSS Pablo Neruda,11
13,Puente de Vallecas,CSS San Diego,12
14,Moratalaz,CSS Fuente Carrantona,12
15,Ciudad Lineal,CSS Luis Vives,20
15,Ciudad Lineal,CSS Santa Felicidad,6
16,Hortaleza,CSS Concepción Arenal,11
16,Hortaleza,CSS El Querol,6
17,Villaverde,CSS Huerta de Villaverde,15
17,Villaverde,CSS Eduardo Minguito,10
18,Villa de Vallecas,CSS Villa de Vallecas,8
19,Vicalvaro,CSS Calahorra,7
19,Vicalvaro,CSS Valdebernardo,8
20,San Blas-Canillejas,CSS Pablo Casals,11
20,San Blas-Canillejas,CSS Torre Arias,12
21,Barajas,CSS Teresa de Calcuta,6
